       job_description_hash       | count 
 bcdd087b24ec7989d265e4da212333d9 |    75
 9d0ccce43cde039b196c699a1848be9c |    75
 a9321742ab7fa0c0d4609baa5dd90c27 |    75
 6d0a100150f90024fde89097c9277b7f |    75
 56baea40ac3365ce40b0e3a20df83bce |    75
 76f9a4f10e0bca76e9770c226d8a4173 |    75
 67e06afe298369c5bbff6f78e51f9db6 |    75
 28270c85af17d8ca7b06c69c5cc24af9 |    75
 6d0d53b3257313b6eb1f0fb49344b5a4 |    75
 35e20bb81a4965f5f3732c43ddafd3a0 |    74
 160613f37f65c488a14281cf6fb2ca23 |    74
 1585587eecca72bbce27b19fb38c63a0 |    74
 4c27c8c1bf9ef320243310b242364648 |    74
 60d9d902b4037c4ece9401c0d53f6aba |    73
 0d0c90b3d6c397d3ad9a12fbca552fad |    73
 460ef7319bb7b6ee7e43b97a35bf9381 |    73
 d0a996c2707adc6662c8ef1831d6982f |    73
 a29237b50852eca8960242b900a2398f |    73
 9f9542535d067130600d7f58b7180c22 |    73
 86c5f51ad25fddffb0358b532b353851 |    73
 836123f7c62d38203b698ba18c084a98 |    72
 e23976c997ebcaa5ce7b6e1661cee388 |    72
 4d3a735f60fab756ed998e0e1e07a6db |    72
 65d097bcde591e5b951fff129cf120df |    72
 7aa8c5061a20f90c15268dd7c0e3dedb |    72
 10c3d58d6b29bceb33dbd93b5e6fe6d8 |    72
 2cf01e537e9ff720b3795918c64eaafd |    71
 6027399dcd638cab54d35e727cc0d4f7 |    71
 680c5c6dc43ab3a5e349f574e9a7521e |    71
 347384cd1329167ec228951c450b8fd2 |    71
 f6317d63f6df45c2b760cb24dfcbe1ff |    71
 b219b31ec578a97ea96b3f44634f3fea |    71
 c7f9403ff43609c65a9fd3dbec74ea06 |    70
 db2ff6b73a01ffa0ed5bb2850009d1d1 |    70
 f0c77dc1079709c20167ada05933b858 |    70
 99f1e29282fd2005cc100c3cc2e4c421 |    70
 6915c887e1f797fd17549d2ab4053e27 |    70
 3961f288bccc87127dc712b890be950f |    70
 3ba1c5aeba94e9332f38cc05491f714f |    70
 4abdea3f38654aaf856f7e7f47e8ce01 |    70
 f86d326592001eae55c3b71724a1db22 |    70
 13acda1156e53907cb23612d3e02692a |    69
 6b7b6329d0ddb70eb01c79e5e1a9c7f2 |    69
 445b3b6f8932cc62f8451426ab5f0410 |    69
 1d90df68e7fef324e1ae32c9d340eee7 |    69
 221b3199c0bf8fedce7a07bffd3c4281 |    69
